Diameter	Elongation	Circularity	Intensity	CellType
17.06	1.39	1.03	68.96	Ectoderm
16.79	1.31	1.02	66.23	Ectoderm
15.55	1.56	1.05	75.7	Ectoderm
17.46	1.27	1.01	74.18	Ectoderm
14.06	1.7	1.07	68.13	Ectoderm
15.14	1.42	1.03	70.03	Ectoderm
16.83	1.4	1.03	68.67	Ectoderm
16.86	1.69	1.07	78.41	Ectoderm
14.08	1.51	1.04	67.31	Ectoderm
19.2	1.45	1.03	75.44	Mesoderm
16.2	1.45	1.03	75.14	Mesoderm
15.84	1.63	1.06	76	Mesoderm
15.08	1.37	1.02	83.98	Mesoderm
14.81	1.47	1.04	88.36	Mesoderm
19.99	2.02	1.12	53.28	Mesoderm
20.23	1.39	1.03	68.35	Mesoderm
20.09	1.39	1.03	66.84	Mesoderm
12.01	1.46	1.04	71.43	Mesoderm
16.79	1.42	1.03	76.4	Endoderm
15.18	1.43	1.03	71.23	Endoderm
18.49	1.71	1.07	74.09	Endoderm
14.83	1.64	1.06	79.4	Endoderm
15.1	1.46	1.04	67.99	Endoderm
16.37	1.3	1.02	70.67	Endoderm
15.65	1.31	1.02	70.11	Endoderm
14.01	1.6	1.05	76.77	Endoderm
20.73	1.72	1.07	87.81	Endoderm
17.86	1.23	1.01	71.66	mESCs
17.63	1.37	1.03	72.35	mESCs
18.7	1.61	1.06	79.16	mESCs
18.56	1.64	1.06	78.82	mESCs
17.99	1.49	1.04	79.01	mESCs
18.41	1.67	1.06	74.59	mESCs
16.35	1.77	1.08	115.36	mESCs
20.05	1.43	1.03	70.14	mESCs
16.37	1.38	1.03	73.28	mESCs
16.7	1.22	1.01	69.72	Unsorted
15.69	1.22	1.01	66.19	Unsorted
16.68	1.53	1.04	77.27	Unsorted
18.31	1.63	1.06	77	Unsorted
14.1	1.33	1.02	66.19	Unsorted
18.75	1.88	1.1	73.38	Unsorted
16.22	1.36	1.02	78.32	Unsorted
17.63	1.52	1.04	72.67	Unsorted
15.94	1.49	1.04	80.25	Unsorted
18.99	1.29	1.02	74.19	Unsorted
