File.ID	Channels	Experiment
F37	Abundance.126	mESCs
F37	Abundance.127N	mESCs
F37	Abundance.127C	mESCs
F37	Abundance.128N	mESCs
F37	Abundance.128C	mESCs
F37	Abundance.129N	mESCs
F37	Abundance.129C	mESCs
F37	Abundance.130N	mESCs
F37	Abundance.130C	mESCs
F37	Abundance.131N	mESCs
F37	Abundance.131C	mESCs
F37	Abundance.132N	mESCs
F37	Abundance.132C	mESCs
F37	Abundance.133N	mESCs
F37	Abundance.133C	mESCs
F37	Abundance.134N	mESCs
F37	Abundance.134C	mESCs
F37	Abundance.135N	mESCs
F38	Abundance.126	mESCs
F38	Abundance.127N	mESCs
F38	Abundance.127C	mESCs
F38	Abundance.128N	mESCs
F38	Abundance.128C	mESCs
F38	Abundance.129N	mESCs
F38	Abundance.129C	mESCs
F38	Abundance.130N	mESCs
F38	Abundance.130C	mESCs
F38	Abundance.131N	mESCs
F38	Abundance.131C	mESCs
F38	Abundance.132N	mESCs
F38	Abundance.132C	mESCs
F38	Abundance.133N	mESCs
F38	Abundance.133C	mESCs
F38	Abundance.134N	mESCs
F38	Abundance.134C	mESCs
F38	Abundance.135N	mESCs
F39	Abundance.126	mESCs
F39	Abundance.127N	mESCs
F39	Abundance.127C	mESCs
F39	Abundance.128N	mESCs
F39	Abundance.128C	mESCs
F39	Abundance.129N	mESCs
F39	Abundance.129C	mESCs
F39	Abundance.130N	mESCs
F39	Abundance.130C	mESCs
F39	Abundance.131N	mESCs
F39	Abundance.131C	mESCs
F39	Abundance.132N	mESCs
F39	Abundance.132C	mESCs
F39	Abundance.133N	mESCs
F39	Abundance.133C	mESCs
F39	Abundance.134N	mESCs
F39	Abundance.134C	mESCs
F39	Abundance.135N	mESCs
F40	Abundance.126	mESCs
F40	Abundance.127N	mESCs
F40	Abundance.127C	mESCs
F40	Abundance.128N	mESCs
F40	Abundance.128C	mESCs
F40	Abundance.129N	mESCs
F40	Abundance.129C	mESCs
F40	Abundance.130N	mESCs
F40	Abundance.130C	mESCs
F40	Abundance.131N	mESCs
F40	Abundance.131C	mESCs
F40	Abundance.132N	mESCs
F40	Abundance.132C	mESCs
F40	Abundance.133N	mESCs
F40	Abundance.133C	mESCs
F40	Abundance.134N	mESCs
F40	Abundance.134C	mESCs
F40	Abundance.135N	mESCs
F41	Abundance.126	mESCs
F41	Abundance.127N	mESCs
F41	Abundance.127C	mESCs
F41	Abundance.128N	mESCs
F41	Abundance.128C	mESCs
F41	Abundance.129N	mESCs
F41	Abundance.129C	mESCs
F41	Abundance.130N	mESCs
F41	Abundance.130C	mESCs
F41	Abundance.131N	mESCs
F41	Abundance.131C	mESCs
F41	Abundance.132N	mESCs
F41	Abundance.132C	mESCs
F41	Abundance.133N	mESCs
F41	Abundance.133C	mESCs
F41	Abundance.134N	mESCs
F41	Abundance.134C	mESCs
F41	Abundance.135N	mESCs
F42	Abundance.126	mESCs
F42	Abundance.127N	mESCs
F42	Abundance.127C	mESCs
F42	Abundance.128N	mESCs
F42	Abundance.128C	mESCs
F42	Abundance.129N	mESCs
F42	Abundance.129C	mESCs
F42	Abundance.130N	mESCs
F42	Abundance.130C	mESCs
F42	Abundance.131N	mESCs
F42	Abundance.131C	mESCs
F42	Abundance.132N	mESCs
F42	Abundance.132C	mESCs
F42	Abundance.133N	mESCs
F42	Abundance.133C	mESCs
F42	Abundance.134N	mESCs
F42	Abundance.134C	mESCs
F42	Abundance.135N	mESCs
F43	Abundance.126	mESCs
F43	Abundance.127N	mESCs
F43	Abundance.127C	mESCs
F43	Abundance.128N	mESCs
F43	Abundance.128C	mESCs
F43	Abundance.129N	mESCs
F43	Abundance.129C	mESCs
F43	Abundance.130N	mESCs
F43	Abundance.130C	mESCs
F43	Abundance.131N	mESCs
F43	Abundance.131C	mESCs
F43	Abundance.132N	mESCs
F43	Abundance.132C	mESCs
F43	Abundance.133N	mESCs
F43	Abundance.133C	mESCs
F43	Abundance.134N	mESCs
F43	Abundance.134C	mESCs
F43	Abundance.135N	mESCs
F44	Abundance.126	mESCs
F44	Abundance.127N	mESCs
F44	Abundance.127C	mESCs
F44	Abundance.128N	mESCs
F44	Abundance.128C	mESCs
F44	Abundance.129N	mESCs
F44	Abundance.129C	mESCs
F44	Abundance.130N	mESCs
F44	Abundance.130C	mESCs
F44	Abundance.131N	mESCs
F44	Abundance.131C	mESCs
F44	Abundance.132N	mESCs
F44	Abundance.132C	mESCs
F44	Abundance.133N	mESCs
F44	Abundance.133C	mESCs
F44	Abundance.134N	mESCs
F44	Abundance.134C	mESCs
F44	Abundance.135N	mESCs
F45	Abundance.126	mESCs
F45	Abundance.127N	mESCs
F45	Abundance.127C	mESCs
F45	Abundance.128N	mESCs
F45	Abundance.128C	mESCs
F45	Abundance.129N	mESCs
F45	Abundance.129C	mESCs
F45	Abundance.130N	mESCs
F45	Abundance.130C	mESCs
F45	Abundance.131N	mESCs
F45	Abundance.131C	mESCs
F45	Abundance.132N	mESCs
F45	Abundance.132C	mESCs
F45	Abundance.133N	mESCs
F45	Abundance.133C	mESCs
F45	Abundance.134N	mESCs
F45	Abundance.134C	mESCs
F45	Abundance.135N	mESCs
F46	Abundance.126	Mesoderm
F46	Abundance.127N	Mesoderm
F46	Abundance.127C	Mesoderm
F46	Abundance.128N	Mesoderm
F46	Abundance.128C	Mesoderm
F46	Abundance.129N	Mesoderm
F46	Abundance.129C	Mesoderm
F46	Abundance.130N	Mesoderm
F46	Abundance.130C	Mesoderm
F46	Abundance.131N	Mesoderm
F46	Abundance.131C	Mesoderm
F46	Abundance.132N	Mesoderm
F46	Abundance.132C	Mesoderm
F46	Abundance.133N	Mesoderm
F46	Abundance.133C	Mesoderm
F46	Abundance.134N	Mesoderm
F46	Abundance.134C	Mesoderm
F46	Abundance.135N	Mesoderm
F47	Abundance.126	Mesoderm
F47	Abundance.127N	Mesoderm
F47	Abundance.127C	Mesoderm
F47	Abundance.128N	Mesoderm
F47	Abundance.128C	Mesoderm
F47	Abundance.129N	Mesoderm
F47	Abundance.129C	Mesoderm
F47	Abundance.130N	Mesoderm
F47	Abundance.130C	Mesoderm
F47	Abundance.131N	Mesoderm
F47	Abundance.131C	Mesoderm
F47	Abundance.132N	Mesoderm
F47	Abundance.132C	Mesoderm
F47	Abundance.133N	Mesoderm
F47	Abundance.133C	Mesoderm
F47	Abundance.134N	Mesoderm
F47	Abundance.134C	Mesoderm
F47	Abundance.135N	Mesoderm
F48	Abundance.126	Mesoderm
F48	Abundance.127N	Mesoderm
F48	Abundance.127C	Mesoderm
F48	Abundance.128N	Mesoderm
F48	Abundance.128C	Mesoderm
F48	Abundance.129N	Mesoderm
F48	Abundance.129C	Mesoderm
F48	Abundance.130N	Mesoderm
F48	Abundance.130C	Mesoderm
F48	Abundance.131N	Mesoderm
F48	Abundance.131C	Mesoderm
F48	Abundance.132N	Mesoderm
F48	Abundance.132C	Mesoderm
F48	Abundance.133N	Mesoderm
F48	Abundance.133C	Mesoderm
F48	Abundance.134N	Mesoderm
F48	Abundance.134C	Mesoderm
F48	Abundance.135N	Mesoderm
F49	Abundance.126	Mesoderm
F49	Abundance.127N	Mesoderm
F49	Abundance.127C	Mesoderm
F49	Abundance.128N	Mesoderm
F49	Abundance.128C	Mesoderm
F49	Abundance.129N	Mesoderm
F49	Abundance.129C	Mesoderm
F49	Abundance.130N	Mesoderm
F49	Abundance.130C	Mesoderm
F49	Abundance.131N	Mesoderm
F49	Abundance.131C	Mesoderm
F49	Abundance.132N	Mesoderm
F49	Abundance.132C	Mesoderm
F49	Abundance.133N	Mesoderm
F49	Abundance.133C	Mesoderm
F49	Abundance.134N	Mesoderm
F49	Abundance.134C	Mesoderm
F49	Abundance.135N	Mesoderm
F50	Abundance.126	Mesoderm
F50	Abundance.127N	Mesoderm
F50	Abundance.127C	Mesoderm
F50	Abundance.128N	Mesoderm
F50	Abundance.128C	Mesoderm
F50	Abundance.129N	Mesoderm
F50	Abundance.129C	Mesoderm
F50	Abundance.130N	Mesoderm
F50	Abundance.130C	Mesoderm
F50	Abundance.131N	Mesoderm
F50	Abundance.131C	Mesoderm
F50	Abundance.132N	Mesoderm
F50	Abundance.132C	Mesoderm
F50	Abundance.133N	Mesoderm
F50	Abundance.133C	Mesoderm
F50	Abundance.134N	Mesoderm
F50	Abundance.134C	Mesoderm
F50	Abundance.135N	Mesoderm
F51	Abundance.126	Mesoderm
F51	Abundance.127N	Mesoderm
F51	Abundance.127C	Mesoderm
F51	Abundance.128N	Mesoderm
F51	Abundance.128C	Mesoderm
F51	Abundance.129N	Mesoderm
F51	Abundance.129C	Mesoderm
F51	Abundance.130N	Mesoderm
F51	Abundance.130C	Mesoderm
F51	Abundance.131N	Mesoderm
F51	Abundance.131C	Mesoderm
F51	Abundance.132N	Mesoderm
F51	Abundance.132C	Mesoderm
F51	Abundance.133N	Mesoderm
F51	Abundance.133C	Mesoderm
F51	Abundance.134N	Mesoderm
F51	Abundance.134C	Mesoderm
F51	Abundance.135N	Mesoderm
F52	Abundance.126	Mesoderm
F52	Abundance.127N	Mesoderm
F52	Abundance.127C	Mesoderm
F52	Abundance.128N	Mesoderm
F52	Abundance.128C	Mesoderm
F52	Abundance.129N	Mesoderm
F52	Abundance.129C	Mesoderm
F52	Abundance.130N	Mesoderm
F52	Abundance.130C	Mesoderm
F52	Abundance.131N	Mesoderm
F52	Abundance.131C	Mesoderm
F52	Abundance.132N	Mesoderm
F52	Abundance.132C	Mesoderm
F52	Abundance.133N	Mesoderm
F52	Abundance.133C	Mesoderm
F52	Abundance.134N	Mesoderm
F52	Abundance.134C	Mesoderm
F52	Abundance.135N	Mesoderm
F53	Abundance.126	Mesoderm
F53	Abundance.127N	Mesoderm
F53	Abundance.127C	Mesoderm
F53	Abundance.128N	Mesoderm
F53	Abundance.128C	Mesoderm
F53	Abundance.129N	Mesoderm
F53	Abundance.129C	Mesoderm
F53	Abundance.130N	Mesoderm
F53	Abundance.130C	Mesoderm
F53	Abundance.131N	Mesoderm
F53	Abundance.131C	Mesoderm
F53	Abundance.132N	Mesoderm
F53	Abundance.132C	Mesoderm
F53	Abundance.133N	Mesoderm
F53	Abundance.133C	Mesoderm
F53	Abundance.134N	Mesoderm
F53	Abundance.134C	Mesoderm
F53	Abundance.135N	Mesoderm
F54	Abundance.126	Mesoderm
F54	Abundance.127N	Mesoderm
F54	Abundance.127C	Mesoderm
F54	Abundance.128N	Mesoderm
F54	Abundance.128C	Mesoderm
F54	Abundance.129N	Mesoderm
F54	Abundance.129C	Mesoderm
F54	Abundance.130N	Mesoderm
F54	Abundance.130C	Mesoderm
F54	Abundance.131N	Mesoderm
F54	Abundance.131C	Mesoderm
F54	Abundance.132N	Mesoderm
F54	Abundance.132C	Mesoderm
F54	Abundance.133N	Mesoderm
F54	Abundance.133C	Mesoderm
F54	Abundance.134N	Mesoderm
F54	Abundance.134C	Mesoderm
